# Created at 2020-06-08 17:52 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
41,397,UTOC,-1800503.553,-4527565.6689,4104267.0791,40.298580594,-111.686521323,1453.351,0,TRM57971.00     NONE,Orem City,TRIMBLE,TRIMBLE NETR9,Nav 4.62 / Boot 4.62,5329K44352
5,396,UTNE,-1827920.342,-4561914.11,4054311.417,39.710547981,-111.835557994,1561.0336,0,TRM57971.00     NONE,Nephi,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5750R51652
78,395,UTMV,-1759555.237,-4788246.243,3818264.673,36.999145029,-110.177059583,1574.0858,0,TRM55971.00     NONE,Monument Valley,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4839K58746
119,394,UTMT,-1823724.6321,-4597625.7441,4016176.1232,39.26447207,-111.636574781,1712.62,0,TRM57971.00     NONE,Manti City,TRIMBLE,TRIMBLE NETR9,Nav 5.03 / Boot 5.03,5249K40330
53,393,UTMN,-1626990.147,-4539588.744,4163381.799,40.996183545,-109.717696748,1948.873,0,TRM55971.00     NONE,Manila,TRIMBLE,TRIMBLE NETR5,Nav 0.00 / Boot 3.60,4814K55068
25,392,UTMI,-1956839.3741,-4607714.7693,3941436.2174,38.401891614,-113.010330017,1506.239,0,TRM55971.00     NONE,Milford,TRIMBLE,TRIMBLE ALLOY,Nav 5.37 / Boot 5.37,5750R40055
89,391,UTMG,-1822739.392,-4486396.199,4139028.222,40.711434324,-112.11099325,1292.3549,0,TRM55971.00     NONE,Magna,TRIMBLE,TRIMBLE NETR3,Nav 0.00 / Boot 3.63,4834K57951
79,390,UTMC,-1680716.686,-4797760.021,3841222.621,37.260152121,-109.30601027,1339.5638,0,TRM55971.00     NONE,Montezuma Creek,TRIMBLE,TRIMBLE NETR3,Nav 0.00 / Boot 3.63,4839K58749
38,389,UTMB,-1670982.793,-4706054.067,3956207.331,38.573921098,-109.548469217,1217.8506,0,TRM55971.00     NONE,Moab,TRIMBLE,TRIMBLE NETR5,Nav 0.00 / Boot 3.64,4722K10098
75,388,UTLT,-1730480.044,-4435534.535,4232584.137,41.827701978,-111.312752445,1831.4895,0,TRM57971.00     NONE,Laketown,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5718R50644
63,387,UTLS,-1654614.66,-4732061.711,3933519.845,38.306990611,-109.272710925,2065.1531,0,TRM55971.00     NONE,LaSal,TRIMBLE,TRIMBLE NETR3,Nav 4.70 / Boot 4.70,4832K57751
23,386,UTLO,-1846545.986,-4653555.912,3941825.532,38.401812717,-111.643337527,2144.0321,0,TRM55971.00     NONE,Loa,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4831K57579
33,385,UTLN,-1773338.033,-4425446.127,4224763.391,41.736957614,-111.836665263,1376.4264,0,TRM55971.00     NONE,Logan,TRIMBLE,TRIMBLE ALLOY,Nav 5.44 / Boot 5.44,5948R40133
128,383,UTL2,-1811764.817,-4513665.347,4114444.1782,40.419304347,-111.870302561,1391.436,0,TRM57971.00     NONE,Lehi 2,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5304K50012
58,382,UTKM,-1759374.429,-4518029.058,4133133.387,40.63615468,-111.276532285,1978.2068,0,TRM57971.00     NONE,Kamas,TRIMBLE,TRIMBLE NETR9,Nav 5.03 / Boot 5.03,5607R50049
32,381,UTKA,-1953152.969,-4708882.968,3822687.788,37.049546714,-112.527721953,1501.5324,0,TRM55971.00     NONE,Kanab,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4839K58736
26,380,UTJU,-1897346.071,-4644488.115,3927952.629,38.244806024,-112.220783168,1828.2247,0,TRM55971.00     NONE,Junction,TRIMBLE,TRIMBLE NETR3,Nav 4.70 / Boot 4.70,4834K57991
